timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1564840800,Aug 03 2019 - 2:00pm,complete,11359,Blackpool,Bristol Rovers,Seb Stockbridge,1,0.00,0.00,1.71,1.06,2,0,2,1,1,0,"28,46","",6,7,1,0,1,0,0,1,0,1,8,12,5,2,3,10,18,15,41,59,1.25,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.20,3.80,1.40,2.20,4.00,8.50,1.91,1.80,Bloomfield Road (Blackpool- Lancashire)
1564840800,Aug 03 2019 - 2:00pm,complete,4565,Burton Albion,Ipswich Town,Ross Joyce,1,0.00,0.00,1.53,1.53,0,1,1,1,0,1,"","11",7,8,3,1,3,0,2,2,0,3,8,7,2,5,6,2,14,19,58,42,0.98,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.25,3.80,1.36,2.25,3.90,8.50,1.87,1.83,Pirelli Stadium (Burton-upon-Trent- Staffordshire)
1564840800,Aug 03 2019 - 2:00pm,complete,6534,Coventry City,Southend United,Craig Hicks,1,0.00,0.00,2.24,0.50,1,0,1,0,0,0,"51","",5,5,1,0,1,0,0,1,0,1,11,7,3,3,8,4,-1,-1,50,50,1.35,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.40,3.90,1.32,2.05,3.69,6.50,1.75,1.95,St Andrew's Trillion Trophy Stadium (Birmingham)
1564840800,Aug 03 2019 - 2:00pm,complete,7939,Doncaster Rovers,Gillingham,John Busby,1,0.00,0.00,1.84,1.17,1,1,2,2,1,1,"45'2","30",6,4,0,0,1,0,0,0,0,1,9,7,4,5,5,2,14,13,63,37,1.11,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.40,3.70,1.27,1.90,3.30,6.87,1.70,2.05,The Keepmoat Stadium (Doncaster- South Yorkshire)
1564840800,Aug 03 2019 - 2:00pm,complete,8668,Lincoln City,Accrington Stanley,Tony Harrington,1,0.00,0.00,1.94,0.94,2,0,2,1,1,0,"35,81","",9,8,2,0,1,0,1,1,0,1,12,12,7,5,5,7,17,14,49,51,1.57,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.40,4.20,1.34,2.08,3.64,7.50,1.87,1.83,Sincil Bank (Lincoln- Lincolnshire)
1564840800,Aug 03 2019 - 2:00pm,complete,7958,Peterborough United,Fleetwood Town,Rob Lewis,1,0.00,0.00,2.29,1.33,1,3,4,2,0,2,"67","4,13,81",4,2,1,0,6,0,0,1,0,6,10,8,4,5,6,3,8,14,74,26,1.39,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.10,3.25,1.38,2.28,3.60,7.60,1.87,1.83,Weston Homes Stadium (Peterborough)
1564840800,Aug 03 2019 - 2:00pm,complete,7880,Shrewsbury Town,Portsmouth,Charles Breakspear,1,0.00,0.00,1.35,1.06,1,0,1,0,0,0,"68","",1,10,3,0,4,1,0,3,2,3,4,7,2,4,2,3,21,15,39,61,0.56,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.00,2.37,1.39,2.21,3.90,8.00,1.85,1.85,Montgomery Waters Meadow (Shrewsbury- Shropshire)
1564840800,Aug 03 2019 - 2:00pm,complete,33498,Sunderland,Oxford United,Peter Wright,1,0.00,0.00,2.00,1.32,1,1,2,1,0,1,"49","14",-1,-1,1,0,4,0,0,1,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.40,4.00,1.31,2.03,3.58,7.57,1.87,1.83,Stadium of Light (Sunderland)
1564840800,Aug 03 2019 - 2:00pm,complete,8032,Tranmere Rovers,Rochdale,Anthony Backhouse,1,0.00,0.00,0.88,0.94,2,3,5,1,0,1,"89,90'3","12,48,69",2,2,3,1,3,0,1,3,1,2,16,8,7,4,9,4,11,17,39,61,1.89,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.30,3.20,1.30,2.00,3.57,7.61,1.70,2.00,Prenton Park (Birkenhead- Merseyside)
1564840800,Aug 03 2019 - 2:00pm,complete,6454,Wycombe Wanderers,Bolton Wanderers,Tom Nield,1,0.00,0.00,2.26,0.35,2,0,2,0,0,0,"56,82","",6,0,0,0,0,0,0,0,0,0,23,3,11,0,12,3,16,12,38,62,2.82,0.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,7.00,15.00,1.16,1.64,2.52,4.65,2.50,1.44,Adams Park (High Wycombe- Buckinghamshire)
1564934400,Aug 04 2019 - 4:00pm,complete,4657,AFC Wimbledon,Rotherham United,Brett Huxtable,1,0.00,0.00,1.33,1.83,1,2,3,1,0,1,"50","29,84",4,4,1,0,0,0,0,1,0,0,8,14,2,10,6,4,16,12,42,58,0.91,2.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.25,2.25,1.36,2.20,3.70,7.50,1.80,1.91,The Cherry Red Records Stadium (Kingston upon Thames- Surrey)
1565445600,Aug 10 2019 - 2:00pm,complete,8901,Bolton Wanderers,Coventry City,James Adcock,2,0.00,0.00,1.18,1.71,0,0,0,0,0,0,"","",2,4,4,0,2,0,1,3,2,0,6,20,3,8,3,12,19,12,33,67,0.72,2.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.00,5.50,1.25,1.20,1.65,2.38,5.00,2.20,1.61,University of Bolton Stadium (Bolton)
1565445600,Aug 10 2019 - 2:00pm,complete,7668,Bristol Rovers,Wycombe Wanderers,Paul Marsden,2,0.00,0.00,1.50,1.28,0,0,0,0,0,0,"","",3,6,1,0,2,0,0,1,0,2,8,8,4,5,4,3,12,21,52,48,1.03,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.50,3.40,1.33,2.10,3.75,8.00,1.90,1.90,Memorial Stadium (Bristol- Gloucestershire)
1565445600,Aug 10 2019 - 2:00pm,complete,2684,Fleetwood Town,AFC Wimbledon,Tom Nield,2,0.00,0.00,1.95,0.65,2,1,3,1,0,1,"56,65","26",6,4,1,0,3,0,1,0,2,1,13,6,5,4,8,2,9,12,67,33,1.46,0.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.50,5.00,1.36,2.15,4.00,9.00,2.00,1.75,Highbury Stadium (Fleetwood- Lancashire)
1565445600,Aug 10 2019 - 2:00pm,complete,4682,Gillingham,Burton Albion,James Linington,2,0.00,0.00,1.76,1.22,1,2,3,3,1,2,"7","42,44",6,4,0,0,2,0,0,0,1,1,7,14,3,7,4,7,16,10,51,49,1.05,1.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.60,2.50,1.28,1.95,3.40,6.50,1.75,2.00,Priestfield Stadium (Gillingham- Kent)
1565445600,Aug 10 2019 - 2:00pm,complete,24051,Ipswich Town,Sunderland,Neil Hair,2,0.00,0.00,1.35,1.24,1,1,2,1,1,0,"15","64",8,1,1,0,1,0,1,0,0,1,11,3,8,2,3,1,15,12,48,52,1.73,0.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.40,2.60,1.36,2.15,4.33,10.00,1.90,1.90,Portman Road (Ipswich- Suffolk)
1565445600,Aug 10 2019 - 2:00pm,complete,7967,Milton Keynes Dons,Shrewsbury Town,Brett Huxtable,2,0.00,0.00,1.56,1.06,1,0,1,0,0,0,"90'3","",7,8,1,0,1,0,0,1,1,0,10,9,3,2,7,7,5,7,61,39,1.48,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.25,3.30,1.36,2.15,3.75,9.00,1.80,1.95,Stadium mk (Milton Keynes- Buckinghamshire)
1565445600,Aug 10 2019 - 2:00pm,complete,6959,Oxford United,Peterborough United,Michael Salisbury,2,0.00,0.00,1.95,1.11,1,0,1,1,1,0,"12","",3,9,3,0,2,0,1,2,2,0,9,7,3,3,6,4,16,14,53,47,1.17,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.60,3.40,1.25,1.80,3.00,5.50,1.66,2.10,The Kassam Stadium (Oxford- Oxfordshire)
1565445600,Aug 10 2019 - 2:00pm,complete,18575,Portsmouth,Tranmere Rovers,Scott Oldham,2,0.00,0.00,2.26,1.00,2,0,2,1,1,0,"27,75","",5,2,2,0,0,0,0,2,0,0,14,8,7,4,7,4,17,10,51,49,1.92,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,4.20,6.50,1.33,2.07,4.00,8.00,2.10,1.66,Fratton Park (Portsmouth)
1565445600,Aug 10 2019 - 2:00pm,complete,3587,Rochdale,Doncaster Rovers,Trevor Kettle,2,0.00,0.00,1.19,1.27,1,1,2,0,0,0,"66","90'2",3,8,2,0,1,0,0,2,1,0,6,9,5,4,1,5,12,12,57,43,0.93,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.60,2.50,1.25,1.80,3.00,5.50,1.66,2.10,Crown Oil Arena (Rochdale- Greater Manchester)
1565445600,Aug 10 2019 - 2:00pm,complete,10706,Rotherham United,Lincoln City,Lee Swabey,2,0.00,0.00,1.71,0.50,0,2,2,1,0,1,"","42,48",11,9,4,0,2,0,1,3,1,1,12,4,4,4,8,0,15,13,56,44,1.43,0.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.60,3.80,1.30,2.00,3.40,7.00,1.80,1.95,AESSEAL New York Stadium (Rotherham- South Yorkshire)
